step,time_s,phase,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z,yaw,pitch,roll,latency_ms
0,0.0873,s1_north_t1_move,-0.0054,0.0047,-1.0116,-0.0051,0.0024,0.0026,0.0,0.0,0.0,2.59,-0.25,-0.6,87.32
1,0.2214,s1_north_t1_move,0.1197,-0.0011,-1.0072,-0.0171,0.0253,0.0353,0.0021,-0.0001,0.0,2.61,-0.23,-0.55,16.29
2,0.3328,s1_north_t1_move,-0.0204,-0.0181,-1.011,-0.0308,-0.0258,-0.0147,0.0146,0.0002,0.0,2.56,-0.29,-0.61,3.94
3,0.4495,s1_north_t1_move,0.1421,0.0072,-1.0157,-0.0068,-0.0036,0.0004,0.0181,0.0002,0.0,2.59,-0.21,-0.62,0.0
4,0.5866,s1_north_t1_move,-0.1484,-0.0005,-1.0152,-0.0156,-0.0053,-0.0029,0.0356,0.0017,0.0,2.6,-0.25,-0.6,15.75
5,1.102,s1_north_t1_move,0.0848,-0.0201,-1.0179,-0.0132,-0.0039,0.0205,0.039,0.0019,0.0,2.62,-0.24,-0.64,406.58
6,1.3305,s1_north_t1_move,0.0572,-0.0017,-1.01,0.0091,0.0135,0.0176,0.0785,0.0042,0.0,2.52,-0.27,-0.59,113.23
7,1.452,s1_north_t1_move,0.1247,0.0103,-1.0145,-0.0002,0.0048,0.0109,0.1041,0.0048,0.0,2.55,-0.24,-0.62,4.05
8,1.5826,s1_north_t1_move,0.1247,0.0103,-1.0145,-0.0002,0.0048,0.0109,0.1118,0.0051,0.0,2.55,-0.24,-0.62,11.2
9,1.7139,s1_north_t1_move,-0.1031,0.0253,-1.0068,0.0132,-0.0205,-0.0332,0.1258,0.0056,0.0,2.57,-0.29,-0.67,16.43
10,1.8151,s1_north_t1_move,0.0703,0.0019,-1.0031,-0.043,-0.0019,0.0122,0.1437,0.0071,0.0,2.62,-0.31,-0.69,0.0
11,1.9355,s1_north_t1_move,-0.1368,-0.011,-1.0073,0.0021,0.0076,-0.0164,0.1528,0.0076,0.0,2.58,-0.25,-0.64,0.0
12,2.105,s1_north_t1_move,-0.0734,0.0308,-1.0025,-0.0008,-0.0215,-0.0124,0.174,0.0078,0.0,2.57,-0.25,-0.66,48.45
13,2.2436,s1_north_t1_move,-0.0734,0.0308,-1.0025,-0.0008,-0.0215,-0.0124,0.174,0.0078,0.0,2.57,-0.27,-0.63,16.03
14,2.3667,s1_north_t1_move,-0.1345,0.0025,-1.0064,0.0003,0.0131,0.0228,0.2014,0.0094,0.0,2.6,-0.29,-0.63,15.65
15,2.5032,s1_north_t1_move,0.1034,0.0061,-1.0199,-0.0196,0.0121,-0.0206,0.2083,0.0098,0.0,2.59,-0.2,-0.64,16.13
16,2.6117,s1_north_t1_move,-0.033,-0.02,-1.0009,-0.002,-0.015,0.0228,0.2083,0.0098,0.0,2.54,-0.22,-0.56,0.0
17,2.8842,s1_north_t1_move,-0.0355,0.0091,-1.0079,-0.0136,0.0145,-0.0057,0.2339,0.0108,0.0,2.63,-0.13,-0.66,150.91
18,3.0208,s1_north_t1_move,0.0058,0.0181,-1.0128,-0.0204,0.0142,-0.0033,0.2545,0.0121,0.0,2.61,-0.08,-0.66,31.79
19,3.1342,s1_north_t1_move,-0.0232,0.0338,-1.01,0.0419,-0.008,-0.0455,0.2718,0.0143,0.0,2.66,-0.11,-0.61,0.0
20,3.2573,s1_north_t1_move,-0.0232,0.0338,-1.01,0.0419,-0.008,-0.0455,0.2718,0.0143,0.0,2.66,-0.11,-0.61,4.39
21,3.3998,s1_north_t1_move,-0.0744,0.0277,-1.0089,-0.0132,0.0056,-0.0526,0.2899,0.0158,0.0,2.54,-0.07,-0.7,31.59
22,3.52,s1_north_t1_move,0.0109,-0.0139,-1.0087,-0.0288,0.0038,-0.0009,0.3091,0.0175,0.0,2.58,-0.01,-0.72,16.06
23,3.6473,s1_north_t1_move,-0.0804,-0.007,-1.0104,-0.0105,0.0069,-0.0027,0.3135,0.0176,0.0,2.57,0.01,-0.74,15.73
24,3.7584,s1_north_t1_move,0.1018,0.0074,-1.0144,-0.0109,0.0004,0.0031,0.3135,0.0176,0.0,2.64,0.07,-0.76,4.23
25,3.8829,s1_north_t1_move,0.0261,0.0084,-1.0148,-0.0137,0.011,-0.0268,0.3305,0.0184,0.0,2.66,0.03,-0.73,10.84
26,3.9953,s1_north_t1_move,0.02,0.0151,-1.0079,0.0048,0.0016,-0.0075,0.3375,0.0184,0.0,2.55,0.1,-0.75,0.0
27,4.1161,s1_north_t1_move,0.0736,0.0142,-1.016,-0.006,0.0064,-0.0127,0.3503,0.0188,0.0,2.56,0.08,-0.76,0.0
28,4.2393,s1_north_t1_move,-0.0459,-0.0089,-1.01,-0.0063,-0.0098,0.0227,0.3583,0.0192,0.0,2.53,0.12,-0.78,2.28
29,4.3749,s1_north_t1_move,-0.0071,-0.0044,-1.0069,0.0014,0.0127,0.0008,0.3645,0.0193,0.0,2.59,0.08,-0.79,15.64
30,4.4982,s1_north_t1_move,0.0452,-0.0005,-1.0191,0.0033,-0.0075,0.0122,0.3645,0.0193,0.0,2.58,0.11,-0.78,0.0
31,4.6456,s1_north_t1_move,0.0716,0.0291,-1.0109,-0.0094,0.0045,-0.0178,0.3788,0.0194,0.0,2.67,0.09,-0.73,37.17
32,4.7651,s1_north_t1_move,-0.0557,0.0038,-1.0064,-0.0054,0.004,0.0018,0.3854,0.0196,0.0,2.67,0.13,-0.77,17.52
33,4.8794,s1_north_t1_move,0.0228,0.02,-1.0074,-0.0082,0.0139,-0.0294,0.3892,0.0199,0.0,2.5,0.13,-0.78,0.0
34,4.9908,s1_north_t1_move,0.0037,-0.0015,-1.0119,0.014,-0.0047,0.024,0.393,0.0198,0.0,2.49,0.12,-0.7,0.0
35,5.1196,s1_north_t1_move,0.0332,0.0037,-1.0143,-0.0022,-0.0039,0.0312,0.4008,0.0193,0.0,2.48,0.12,-0.68,0.0
36,5.2392,s1_north_t1_move,0.0332,0.0037,-1.0143,-0.0022,-0.0039,0.0312,0.4008,0.0193,0.0,2.64,0.13,-0.67,0.0
37,5.3609,s1_north_t1_move,0.0042,0.0051,-1.0113,-0.0134,0.005,-0.0154,0.4096,0.0198,0.0,2.72,0.14,-0.75,15.71
38,5.6212,s1_north_t1_move,0.0074,0.0039,-1.0106,-0.0048,-0.0021,-0.0145,0.4127,0.0196,0.0,2.58,0.13,-0.79,144.49
39,5.834,s1_north_t1_move,0.0019,0.0055,-1.0111,-0.0004,-0.0022,-0.0029,0.4179,0.0196,0.0,2.57,0.12,-0.78,95.72
