step,time_s,phase,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z,yaw,pitch,roll,latency_ms
40,5.9613,s1_north_t1_move,-0.0126,0.0046,-1.0104,0.0039,-0.0012,0.0074,0.4244,0.0206,0.0,2.56,0.08,-0.74,5.62
41,6.1411,s1_north_t1_move,0.0074,0.0141,-1.0109,-0.001,0.0043,-0.016,0.4259,0.0206,0.0,2.59,0.06,-0.71,65.02
42,6.2619,s1_north_t1_move,0.0255,-0.0092,-1.0187,-0.0079,0.0029,0.0104,0.4281,0.0204,0.0,2.57,0.06,-0.7,5.7
43,6.3746,s1_north_t1_move,-0.0233,-0.0088,-1.0128,-0.0087,-0.0041,0.0088,0.4308,0.0204,0.0,2.6,0.05,-0.71,0.0
44,6.4957,s1_north_t1_move,0.0179,0.0054,-1.0142,-0.0117,-0.0022,0.0004,0.432,0.0202,0.0,2.63,0.06,-0.74,0.0
45,6.6238,s1_north_t1_move,0.0003,-0.0022,-1.0111,-0.0055,0.0014,0.01,0.432,0.0202,0.0,2.63,0.06,-0.74,16.02
46,6.7294,s1_north_t1_move,-0.0018,-0.0031,-1.0111,-0.004,0.0024,0.0048,0.4351,0.0199,0.0,2.61,0.07,-0.8,0.0
47,6.8505,s1_north_t1_move,-0.0018,-0.0031,-1.0111,-0.004,0.0024,0.0048,0.4362,0.0201,0.0,2.61,0.07,-0.8,0.0
48,6.9724,s1_north_t1_move,-0.0195,-0.0051,-1.0106,-0.0033,-0.0017,0.008,0.4392,0.0198,0.0,2.59,0.06,-0.8,0.0
49,7.1491,s1_north_t1_move,0.0073,0.0135,-1.013,-0.0051,-0.0021,-0.0105,0.44,0.0196,0.0,2.6,0.05,-0.8,48.07
50,7.4926,s1_north_t1_move,0.0208,0.0007,-1.013,-0.0032,0.0007,0.0008,0.4423,0.0194,0.0,2.55,0.04,-0.79,224.17
51,7.6243,s1_north_t1_move,-0.008,0.0093,-1.0111,-0.0014,-0.0056,-0.0109,0.4454,0.0197,0.0,2.56,0.01,-0.77,21.08
52,7.7454,s1_north_t1_move,-0.008,0.0093,-1.0111,-0.0014,-0.0056,-0.0109,0.4454,0.0197,0.0,2.56,0.01,-0.77,19.11
53,7.8782,s1_north_t1_move,-0.0162,0.0015,-1.0124,-0.0054,-0.0029,0.0045,0.4481,0.0195,0.0,2.64,-0.0,-0.75,15.78
54,8.0017,s1_north_t1_stop,-0.0307,-0.0031,-1.0127,-0.0112,0.0013,-0.0108,0.4493,0.0191,0.0,2.62,-0.02,-0.74,15.78
55,8.1155,s1_north_t1_stop,-0.0232,0.0027,-1.0123,-0.0059,0.0001,-0.0015,0.4502,0.0189,0.0,2.61,-0.02,-0.75,8.04
56,8.2449,s1_north_t1_stop,-0.0133,-0.0053,-1.0122,-0.0066,0.0026,0.0093,0.448,0.0185,0.0,2.61,-0.02,-0.75,15.68
57,8.3512,s1_north_t1_stop,0.0014,0.0037,-1.0109,-0.009,0.0022,-0.0024,0.4453,0.0183,0.0,2.62,-0.0,-0.76,0.0
58,8.4721,s1_north_t1_stop,0.0021,0.0088,-1.0116,-0.009,0.0032,-0.0023,0.4429,0.0177,0.0,2.63,0.01,-0.79,0.0
59,8.5931,s1_north_t1_stop,-0.0008,0.0028,-1.0117,-0.0068,0.0041,0.0032,0.4403,0.0173,0.0,2.63,0.02,-0.81,0.0
60,8.7146,s1_north_t1_stop,0.0045,0.005,-1.0127,-0.0069,0.0017,0.0043,0.4373,0.017,0.0,2.68,0.04,-0.86,0.0
61,8.8503,s1_north_t1_stop,0.0139,0.005,-1.0111,-0.0027,0.0013,0.0081,0.4341,0.0173,0.0,2.69,0.04,-0.87,16.24
62,8.9851,s1_north_t1_stop,0.0169,0.005,-1.0121,-0.0056,-0.0004,0.0007,0.4343,0.0173,0.0,2.69,0.04,-0.88,15.74
63,9.1703,s1_north_t2_move,-0.0056,0.0046,-1.0118,-0.0056,-0.002,-0.0003,0.4351,0.017,0.0,2.69,0.04,-0.88,70.54
64,9.5221,s1_north_t2_move,-0.026,0.0079,-0.9984,0.0062,0.0288,0.0042,0.4348,0.0174,0.0,2.73,0.03,-0.89,241.96
65,9.717,s1_north_t2_move,0.0004,-0.0007,-1.0113,-0.0032,0.0067,0.0193,0.437,0.0178,0.0,2.71,0.03,-0.88,76.0
66,9.9347,s1_north_t2_move,-0.0088,0.006,-1.0124,-0.0043,-0.0016,-0.0084,0.4396,0.0182,0.0,2.68,0.04,-0.86,96.29
67,10.1734,s1_north_t2_move,-0.0026,-0.0093,-1.0134,-0.0046,0.0101,0.0244,0.4408,0.0188,0.0,2.69,0.04,-0.85,133.86
68,10.344,s1_north_t2_move,0.0027,0.0241,-1.0133,-0.0053,-0.0036,-0.0339,0.4415,0.0184,0.0,2.68,0.04,-0.84,64.2
69,10.5378,s1_north_t2_move,-0.0,-0.013,-1.0124,-0.0022,0.0039,0.022,0.4431,0.0179,0.0,2.64,0.04,-0.83,80.01
70,10.7572,s1_north_t2_move,0.0,0.0249,-1.0079,0.0012,0.0049,-0.0135,0.4451,0.0184,0.0,2.71,0.04,-0.8,95.67
71,10.8825,s1_north_t2_move,-0.0158,0.0005,-1.0153,-0.0005,0.0056,0.0051,0.4471,0.0192,0.0,2.76,0.03,-0.78,16.36
72,11.1771,s1_north_t2_move,-0.0266,-0.0197,-1.014,0.0006,0.0037,-0.0038,0.4512,0.0197,0.0,2.72,0.01,-0.75,176.33
73,11.3023,s1_north_t2_move,-0.0401,-0.0196,-1.0106,0.0015,-0.0098,0.0032,0.4552,0.0198,0.0,2.73,0.03,-0.72,17.33
74,11.4103,s1_north_t2_move,0.0222,0.0032,-1.0139,-0.0075,0.003,0.0216,0.4576,0.0208,0.0,2.76,0.02,-0.73,0.0
75,11.5413,s1_north_t2_move,-0.0215,-0.0178,-1.0124,-0.0076,-0.0041,0.0049,0.4594,0.0212,0.0,2.76,0.02,-0.73,9.28
76,12.1871,s1_north_t2_move,-0.0079,-0.0311,-1.011,-0.0144,0.0124,-0.0312,0.4617,0.0218,0.0,2.67,0.03,-0.76,527.37
77,12.3223,s1_north_t2_move,-0.0245,0.0216,-1.006,0.0015,0.0132,0.0059,0.4769,0.0279,0.0,2.73,0.07,-0.73,17.04
78,12.43,s1_north_t2_move,0.0326,0.0225,-1.0109,0.0045,-0.0053,-0.0122,0.4804,0.0295,0.0,2.7,0.07,-0.72,0.0
79,12.552,s1_north_t2_move,-0.0337,-0.021,-1.0109,-0.0043,-0.0052,-0.001,0.4814,0.0304,0.0,2.69,0.09,-0.68,0.0
80,12.6813,s1_north_t2_move,0.0447,0.0295,-1.0109,-0.0075,-0.0057,-0.0214,0.4829,0.0311,0.0,2.81,0.09,-0.68,7.72
81,12.8105,s1_north_t2_move,-0.0189,-0.0059,-1.0097,-0.0044,0.0072,-0.03,0.4829,0.0311,0.0,2.67,0.06,-0.7,16.02
82,12.9318,s1_north_t2_move,0.0065,0.0226,-1.0085,-0.0073,0.0049,0.0072,0.4871,0.0331,0.0,2.61,0.04,-0.69,0.0
83,13.0556,s1_north_t2_move,-0.0083,-0.001,-1.0091,0.0185,0.0106,-0.0527,0.4928,0.0368,0.0,2.65,0.04,-0.63,0.0
84,13.1815,s1_north_t2_move,-0.0083,-0.001,-1.0091,0.0185,0.0106,-0.0527,0.4928,0.0368,0.0,2.64,0.08,-0.57,5.88
85,13.418,s1_north_t2_move,0.0041,0.0027,-1.0084,-0.0082,-0.0007,0.02,0.4958,0.0387,0.0,2.74,0.09,-0.58,120.71
86,13.6224,s1_north_t2_move,0.0387,0.0601,-1.0082,-0.0117,-0.0055,-0.0497,0.4999,0.0413,0.0,2.61,0.06,-0.6,103.21
87,14.0274,s1_north_t2_move,0.023,0.0002,-1.0086,0.003,0.0025,0.0458,0.5033,0.0435,0.0,2.55,0.11,-0.53,303.88
88,14.1633,s1_north_t2_move,0.005,0.024,-1.0118,-0.0127,-0.0095,-0.0932,0.5131,0.048,0.0,2.58,0.1,-0.58,16.13
89,14.2849,s1_north_t2_move,-0.0166,-0.0085,-1.0103,0.0083,-0.021,0.0493,0.5173,0.051,0.0,2.65,0.12,-0.53,13.66
90,14.3916,s1_north_t2_move,0.014,0.0068,-1.0084,0.0032,-0.0089,0.029,0.5223,0.054,0.0,2.72,0.13,-0.54,0.0
91,15.0459,s1_north_t2_move,0.014,0.0068,-1.0084,0.0032,-0.0089,0.029,0.5223,0.054,0.0,2.72,0.1,-0.53,526.98
92,15.1837,s1_north_t2_move,0.0311,0.0209,-1.014,-0.0123,0.0026,0.0159,0.5396,0.0648,0.0,2.67,0.08,-0.58,16.26
93,15.2909,s1_north_t2_move,0.0176,0.0233,-1.0138,-0.0103,0.0127,0.0078,0.5438,0.0671,0.0,2.7,0.09,-0.59,0.0
94,15.4111,s1_north_t2_move,0.0176,0.0233,-1.0138,-0.0103,0.0127,0.0078,0.5461,0.0689,0.0,2.78,0.09,-0.59,0.0
95,15.5353,s1_north_t2_move,-0.0071,-0.0009,-1.0157,-0.0051,-0.0015,-0.0052,0.5512,0.0723,0.0,2.74,0.11,-0.57,4.83
96,15.6546,s1_north_t2_move,0.0156,0.0173,-1.0111,-0.0038,0.0007,-0.0097,0.5549,0.0737,0.0,2.63,0.12,-0.54,0.0
97,15.7757,s1_north_t2_move,-0.0134,-0.0215,-1.0113,-0.0057,0.0052,-0.0007,0.5574,0.074,0.0,2.63,0.12,-0.54,0.0
98,15.8934,s1_north_t2_move,-0.0297,0.0138,-1.0101,-0.0049,0.0121,-0.0303,0.5623,0.0752,0.0,2.7,0.11,-0.55,0.0
99,16.0244,s1_north_t2_move,-0.0297,0.0138,-1.0101,-0.0049,0.0121,-0.0303,0.5623,0.0752,0.0,2.71,0.1,-0.55,17.05
100,16.2128,s1_north_t2_move,0.0354,0.0265,-1.0116,-0.0084,-0.0068,0.004,0.566,0.0771,0.0,2.74,0.09,-0.53,85.62
101,16.3434,s1_north_t2_move,-0.0367,0.0073,-1.0108,-0.0118,-0.0102,-0.0255,0.5715,0.0781,0.0,2.59,0.1,-0.52,16.3
102,16.4509,s1_north_t2_move,0.0245,-0.0021,-1.0049,-0.0062,0.0072,0.0137,0.5735,0.0781,0.0,2.6,0.12,-0.52,0.0
103,16.5979,s1_north_t2_move,-0.0124,0.0512,-1.0084,-0.0056,0.0065,-0.0097,0.5801,0.0808,0.0,2.69,0.12,-0.55,26.48
104,16.7236,s1_north_t2_move,0.0255,0.0118,-1.0128,-0.0086,-0.0114,0.001,0.5823,0.0809,0.0,2.75,0.12,-0.57,10.41
105,16.8454,s1_north_t2_move,0.0056,0.0265,-1.0086,-0.0082,0.0028,-0.0381,0.589,0.0824,0.0,2.59,0.13,-0.56,10.08
106,16.9767,s1_north_t2_move,0.0169,0.0248,-1.011,-0.0003,-0.0093,0.0458,0.5931,0.0835,0.0,2.53,0.14,-0.54,15.99
107,17.1176,s1_north_t2_move,0.0169,0.0248,-1.011,-0.0003,-0.0093,0.0458,0.5931,0.0835,0.0,2.76,0.12,-0.46,22.61
108,17.2222,s1_north_t2_move,0.0053,0.0216,-1.0137,-0.0107,0.0009,-0.0236,0.5991,0.0853,0.0,2.88,0.1,-0.45,0.0
109,17.7074,s1_north_t2_move,0.0072,-0.0145,-1.0138,-0.0158,0.0035,-0.0052,0.607,0.0864,0.0,2.66,0.07,-0.5,365.68
110,17.8305,s1_north_t2_move,0.0011,-0.001,-1.0135,-0.0076,-0.0045,-0.0228,0.6188,0.0879,0.0,2.75,0.15,-0.51,2.0
111,17.9505,s1_north_t2_move,0.0436,0.0006,-1.0178,0.0078,-0.0081,0.0221,0.621,0.0886,0.0,2.66,0.18,-0.54,0.0
112,18.071,s1_north_t2_move,-0.0563,-0.0658,-1.0135,0.008,0.0037,0.0119,0.6268,0.0914,0.0,2.52,0.13,-0.48,0.0
113,18.2015,s1_north_t2_move,-0.0563,-0.0658,-1.0135,0.008,0.0037,0.0119,0.6268,0.0914,0.0,2.57,0.11,-0.45,11.5
114,18.325,s1_north_t2_move,-0.0099,0.0084,-1.0093,0.001,0.0005,-0.0051,0.6336,0.0925,0.0,2.76,0.12,-0.45,15.94
115,18.4293,s1_north_t2_move,-0.0127,-0.012,-1.0099,-0.0045,0.0058,0.012,0.6365,0.0922,0.0,2.79,0.15,-0.46,0.0
116,18.5522,s1_north_t2_move,0.0176,0.0047,-1.0088,-0.0096,0.0104,-0.0061,0.6395,0.0924,0.0,2.79,0.17,-0.49,0.0
117,18.6804,s1_north_t2_move,-0.0096,0.0045,-1.0118,-0.0083,-0.0002,-0.0062,0.6467,0.0927,0.0,2.77,0.17,-0.52,8.22
118,18.8027,s1_north_t2_move,-0.0157,-0.0308,-1.0137,-0.0046,-0.008,-0.0181,0.6494,0.0934,0.0,2.62,0.17,-0.54,13.96
119,18.9099,s1_north_t2_move,-0.0157,-0.0308,-1.0137,-0.0046,-0.008,-0.0181,0.6494,0.0934,0.0,2.58,0.17,-0.53,0.0
120,19.0385,s1_north_t2_move,0.0358,0.0042,-1.0129,-0.002,-0.0024,-0.0013,0.6513,0.0935,0.0,2.67,0.12,-0.47,5.54
121,19.1524,s1_north_t2_stop,-0.0034,-0.0005,-1.0123,-0.0063,0.0014,0.008,0.6574,0.0941,0.0,2.72,0.09,-0.46,0.0
122,19.2833,s1_north_t2_stop,-0.0001,0.0053,-1.0138,-0.0068,-0.0029,0.005,0.6604,0.0936,0.0,2.74,0.1,-0.47,16.0
123,19.4056,s1_north_t2_stop,-0.0001,0.0053,-1.0138,-0.0068,-0.0029,0.005,0.6635,0.0938,0.0,2.75,0.11,-0.5,16.03
124,19.511,s1_north_t2_stop,-0.0172,0.0041,-1.0112,-0.0051,-0.0008,-0.0006,0.6673,0.0944,0.0,2.77,0.12,-0.51,0.0
125,19.6481,s1_north_t2_stop,-0.0125,0.002,-1.0124,-0.0026,0.0015,0.0048,0.6667,0.0944,0.0,2.78,0.12,-0.5,15.95
126,19.7837,s1_north_t2_stop,0.0066,0.0029,-1.0118,-0.0021,0.0015,0.0007,0.665,0.0944,0.0,2.77,0.12,-0.49,23.65
127,19.9606,s1_north_t2_stop,0.0066,0.0029,-1.0118,-0.0021,0.0015,0.0007,0.665,0.0944,0.0,2.77,0.12,-0.49,62.51
128,20.0842,s1_north_turn_right,-0.004,0.0018,-1.0113,-0.0066,-0.0005,-0.0,0.6641,0.0947,0.0,2.78,0.12,-0.5,11.66
129,20.2163,s1_north_turn_right,-0.0027,-0.0161,-1.0014,-0.0443,0.0234,0.0388,0.6641,0.0947,0.0,2.78,0.12,-0.5,15.75
130,20.3332,s1_north_turn_right,-0.0027,-0.0161,-1.0014,-0.0443,0.0234,0.0388,0.664,0.0944,0.0,5.91,0.15,-0.54,0.0
131,20.452,s1_north_turn_right,0.0151,0.0829,-1.0081,0.027,0.0043,0.6163,0.6641,0.0924,0.0,9.55,0.17,-0.47,0.0
132,20.5895,s1_north_turn_right,-0.01,0.0255,-1.0194,0.0156,-0.0248,0.7136,0.6639,0.092,0.0,13.49,0.22,-0.5,15.91
133,20.7253,s1_north_turn_right,0.0087,0.0156,-1.0119,-0.0071,-0.0152,0.7454,0.6647,0.0926,0.0,24.22,0.21,-0.47,15.66
134,20.8446,s1_north_turn_right,0.0087,0.0156,-1.0119,-0.0071,-0.0152,0.7454,0.6649,0.0927,0.0,24.22,0.21,-0.47,15.97
135,20.9536,s1_north_turn_right,-0.0028,-0.011,-1.0141,0.0114,0.0069,0.8211,0.6652,0.0931,0.0,37.5,0.22,-0.4,0.0
136,21.0752,s1_north_turn_right,0.0123,0.0197,-0.9969,0.009,-0.0193,0.7575,0.6652,0.0931,0.0,41.94,0.22,-0.41,0.0
137,21.1972,s1_north_turn_right,0.0196,0.0332,-1.0255,-0.009,-0.0248,0.6924,0.6657,0.0942,0.0,41.94,0.22,-0.41,0.0
138,21.4023,s1_north_turn_right,0.0049,-0.0402,-1.0012,-0.0766,0.0268,0.9173,0.6665,0.0945,0.0,50.94,0.17,-0.36,84.03
139,21.5245,s1_north_turn_right,-0.0144,-0.0576,-1.0137,-0.0331,-0.0078,0.8341,0.6664,0.0951,0.0,59.99,0.18,-0.36,15.71
140,21.6462,s1_north_turn_right,-0.0144,-0.0576,-1.0137,-0.0331,-0.0078,0.8341,0.6664,0.0951,0.0,59.99,0.18,-0.36,16.06
141,21.7511,s1_north_turn_right,0.0214,0.0401,-1.0269,0.0233,-0.0067,0.7371,0.6666,0.0956,0.0,68.88,0.17,-0.29,0.0
142,21.8992,s1_north_turn_right,0.0351,-0.0185,-1.0129,-0.0336,0.0141,0.9075,0.665,0.0946,0.0,78.09,0.14,-0.27,26.06
143,22.0059,s1_north_turn_right,-0.0301,-0.0021,-1.0057,0.0472,-0.0241,0.7314,0.6648,0.0957,0.0,78.09,0.14,-0.27,0.0
144,22.1259,s1_north_turn_right,0.005,0.036,-1.0227,-0.0293,-0.002,0.7082,0.6661,0.0958,0.0,82.33,0.07,-0.23,0.0
145,22.2468,s2_east_t1_move,0.0081,-0.0167,-1.0039,-0.0155,-0.0084,0.8688,0.6658,0.0952,0.0,86.9,0.13,-0.3,0.0
146,22.37,s2_east_t1_move,-0.0116,-0.0769,-1.0192,-0.0177,0.0315,-0.1044,0.6618,0.0993,0.0,92.22,0.18,-0.37,0.0
147,22.4905,s2_east_t1_move,-0.0222,0.0259,-1.0121,0.0211,-0.0173,-0.0108,0.6641,0.1043,0.0,92.22,0.18,-0.37,0.0
148,22.6217,s2_east_t1_move,0.0169,-0.0199,-1.0126,-0.012,-0.0016,0.0426,0.6645,0.109,0.0,92.16,0.13,-0.32,7.66
149,22.7339,s2_east_t1_move,-0.028,0.0276,-1.0123,-0.0106,-0.0032,-0.0174,0.6664,0.1155,0.0,92.29,0.14,-0.34,0.0
150,23.2482,s2_east_t1_move,0.0189,-0.0082,-1.0112,0.0125,-0.0143,-0.0449,0.668,0.1325,0.0,92.36,0.2,-0.35,389.66
151,23.3553,s2_east_t1_move,0.0277,-0.027,-1.0171,-0.0039,-0.0085,-0.0298,0.67,0.1728,0.0,92.44,0.29,-0.33,2.06
152,23.4839,s2_east_t1_move,-0.0428,0.0197,-1.0123,-0.0273,0.0062,0.0364,0.6711,0.1821,0.0,92.37,0.29,-0.34,18.09
153,23.6017,s2_east_t1_move,0.0439,0.0055,-1.0146,-0.0043,0.0089,-0.0314,0.6704,0.1902,0.0,92.37,0.29,-0.34,15.86
154,23.7243,s2_east_t1_move,0.016,-0.024,-1.0183,-0.0393,0.0227,0.0517,0.6706,0.2001,0.0,92.37,0.32,-0.3,3.14
155,23.8605,s2_east_t1_move,0.006,-0.0064,-1.0094,0.0108,0.0081,-0.018,0.6705,0.2179,0.0,92.32,0.36,-0.35,16.21
156,23.9683,s2_east_t1_move,0.006,-0.0064,-1.0094,0.0108,0.0081,-0.018,0.6705,0.2179,0.0,92.32,0.36,-0.35,0.0
157,24.0945,s2_east_t1_move,0.0198,0.0525,-1.0217,-0.0043,-0.0155,-0.0592,0.6705,0.2368,0.0,92.22,0.39,-0.31,0.0
158,24.2156,s2_east_t1_move,0.0198,0.0525,-1.0217,-0.0043,-0.0155,-0.0592,0.6705,0.2368,0.0,92.22,0.39,-0.31,2.14
159,24.344,s2_east_t1_move,0.0824,0.0061,-1.0137,-0.0078,-0.0024,0.001,0.6709,0.2548,0.0,92.37,0.36,-0.29,16.19
160,24.4631,s2_east_t1_move,0.043,-0.0053,-1.0094,-0.0109,0.0075,0.0004,0.67,0.2661,0.0,92.36,0.34,-0.24,16.11
161,24.5784,s2_east_t1_move,0.0017,-0.0107,-1.0155,-0.0201,0.0032,0.0017,0.6698,0.285,0.0,92.35,0.35,-0.25,0.0
162,24.6995,s2_east_t1_move,-0.0563,0.0076,-1.0074,0.0037,0.0111,0.0017,0.6694,0.2921,0.0,92.29,0.32,-0.24,0.0
163,24.821,s2_east_t1_move,-0.0563,0.0076,-1.0074,0.0037,0.0111,0.0017,0.6694,0.2921,0.0,92.39,0.36,-0.22,16.01
164,24.9432,s2_east_t1_move,-0.0935,0.008,-0.9966,0.0165,0.0079,-0.015,0.6689,0.3014,0.0,92.33,0.31,-0.26,15.73
165,25.0657,s2_east_t1_move,0.0681,-0.013,-1.0117,-0.0102,0.0029,0.0364,0.6675,0.3125,0.0,92.32,0.35,-0.22,17.15
166,25.1979,s2_east_t1_move,-0.0117,-0.0298,-1.0131,-0.0032,0.0048,0.064,0.6636,0.3386,0.0,92.47,0.36,-0.18,15.87
167,25.3045,s2_east_t1_move,0.0603,0.028,-1.0129,-0.0337,-0.0087,-0.0339,0.6624,0.3503,0.0,92.29,0.33,-0.27,2.16
168,25.5018,s2_east_t1_move,-0.1123,0.0174,-1.008,0.0317,0.0044,-0.0436,0.6608,0.3588,0.0,92.42,0.38,-0.15,80.7
169,25.6195,s2_east_t1_move,-0.1264,0.0057,-1.0239,-0.033,-0.0165,-0.0003,0.6586,0.3818,0.0,92.33,0.36,-0.26,15.45
170,26.2908,s2_east_t1_move,0.0155,0.0182,-1.0154,-0.0221,0.0237,0.0007,0.6573,0.3855,0.0,92.26,0.41,-0.23,552.58
