step,time_s,phase,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z,yaw,pitch,roll,latency_ms
0,0.0096,s1_north_t1_move,-0.0093,0.0057,-1.0134,-0.0016,-0.0008,0.0006,-0.0,-0.0001,0.0,3.21,1.38,-1.67,9.61
1,0.1222,s1_north_t1_move,-0.0064,0.0046,-1.0136,-0.0045,-0.0007,0.0011,0.0001,-0.0001,0.0,3.22,1.42,-1.68,4.45
2,0.2499,s1_north_t1_move,0.1355,-0.0246,-1.0126,-0.0017,-0.0123,0.0255,0.0098,0.0004,0.0,3.21,1.37,-1.67,16.48
3,0.3618,s1_north_t1_move,-0.1497,0.0035,-1.0064,-0.0048,0.0415,-0.0331,0.0198,0.0008,0.0,3.3,1.34,-1.73,0.0
4,0.4814,s1_north_t1_move,-0.1497,0.0035,-1.0064,-0.0048,0.0415,-0.0331,0.0198,0.0008,0.0,3.3,1.34,-1.73,0.0
5,0.604,s1_north_t1_move,-0.0415,-0.0259,-1.0147,-0.0063,-0.0063,-0.0118,0.0346,0.001,0.0,3.18,1.32,-1.71,0.0
6,0.73,s1_north_t1_move,0.0158,-0.0003,-1.0168,-0.0067,0.0026,0.0082,0.0503,0.0014,0.0,3.11,1.36,-1.73,4.54
7,0.8509,s1_north_t1_move,0.0158,-0.0003,-1.0168,-0.0067,0.0026,0.0082,0.0503,0.0014,0.0,3.11,1.36,-1.73,17.91
8,0.9683,s1_north_t1_move,0.0723,0.0049,-1.0198,-0.0079,-0.0007,0.0005,0.067,0.0022,0.0,3.2,1.37,-1.74,16.04
9,1.5798,s1_north_t1_move,0.0723,0.0049,-1.0198,-0.0079,-0.0007,0.0005,0.0788,0.0032,0.0,3.24,1.33,-1.73,505.72
10,1.7102,s1_north_t1_move,0.0121,0.009,-1.0159,-0.0217,0.0248,0.0192,0.1388,0.0074,0.0,3.25,1.41,-1.78,15.38
11,1.9209,s1_north_t1_move,0.0767,0.0135,-1.0426,-0.0172,-0.0329,0.0038,0.1546,0.0085,0.0,3.16,1.31,-1.8,97.51
12,2.0513,s1_north_t1_move,0.1576,0.0032,-1.0186,-0.0028,-0.0094,0.0227,0.1842,0.0095,0.0,3.22,1.33,-1.79,15.7
13,2.3899,s1_north_t1_move,-0.1335,0.0006,-1.025,0.0004,-0.0248,-0.0092,0.1842,0.0095,0.0,3.18,1.31,-1.73,236.53
14,2.558,s1_north_t1_move,-0.0538,-0.0111,-1.0345,-0.0225,-0.0289,0.0236,0.2277,0.0123,0.0,3.18,1.33,-1.73,48.42
15,2.6801,s1_north_t1_move,-0.0717,0.0119,-1.0081,0.0036,0.0166,-0.0184,0.2451,0.0139,0.0,3.21,1.28,-1.76,4.28
16,2.7973,s1_north_t1_move,0.1638,-0.0071,-1.009,-0.0161,0.0077,0.0238,0.2634,0.0155,0.0,3.2,1.32,-1.7,0.0
17,2.919,s1_north_t1_move,-0.1995,0.0245,-1.0145,0.005,0.0035,-0.0408,0.2681,0.0165,0.0,3.23,1.28,-1.76,0.0
