step,time_s,phase,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z,yaw,pitch,roll,latency_ms
0,0.0157,s1_north_t1_move,-0.006,0.0064,-1.0104,-0.0029,0.002,0.001,0.0,-0.0,0.0,0.04,-0.18,-0.36,15.74
1,0.1405,s1_north_t1_move,0.0027,0.0094,-1.0042,0.0032,0.0131,-0.0015,0.0,-0.0,0.0,0.04,-0.18,-0.36,16.56
2,0.2639,s1_north_t1_move,0.1025,0.011,-1.0013,-0.0052,-0.0099,0.0126,0.0037,-0.0001,0.0,-0.02,-0.18,-0.3,15.47
3,0.3799,s1_north_t1_move,0.1674,-0.0047,-1.0168,-0.0122,0.0215,0.0357,0.0177,-0.0002,0.0,0.13,-0.16,-0.34,0.0
4,0.5027,s1_north_t1_move,0.1674,-0.0047,-1.0168,-0.0122,0.0215,0.0357,0.0177,-0.0002,0.0,0.13,-0.16,-0.34,0.0
5,0.7337,s1_north_t1_move,-0.0373,0.0287,-1.0065,-0.0012,0.0118,0.0066,0.0384,-0.001,0.0,-0.03,-0.24,-0.34,104.36
6,1.0017,s1_north_t1_move,-0.1751,0.001,-1.0112,-0.0028,-0.0145,-0.0141,0.057,0.0002,0.0,-0.02,-0.21,-0.39,153.77
7,1.1341,s1_north_t1_move,-0.1287,0.0265,-1.007,0.0044,0.0113,-0.0084,0.0708,0.0012,0.0,0.05,-0.2,-0.38,9.41
8,1.2462,s1_north_t1_move,-0.1287,0.0265,-1.007,0.0044,0.0113,-0.0084,0.0833,0.0012,0.0,0.04,-0.18,-0.34,0.0
9,1.3615,s1_north_t1_move,-0.1635,-0.0098,-1.0129,-0.0045,-0.0106,-0.0078,0.1012,0.0013,0.0,0.02,-0.23,-0.36,0.0
10,1.4908,s1_north_t1_move,0.0756,-0.0311,-0.9881,-0.0483,0.0257,0.0654,0.1148,0.0011,0.0,0.02,-0.15,-0.34,0.0
11,1.7553,s1_north_t1_move,0.0756,-0.0311,-0.9881,-0.0483,0.0257,0.0654,0.1148,0.0011,0.0,0.07,-0.17,-0.44,144.08
